:START_ID,role,:END_ID,:TYPE
009e840c4f332e0081a9605f0310c748,Owns,209e044c4f332e0081a9605f0310c72a,Owns
009e840c4f332e0081a9605f0310c748,Owns,2c9e044c4f332e0081a9605f0310c727,Owns
009e840c4f332e0081a9605f0310c748,Owns,ac9e044c4f332e0081a9605f0310c728,Owns
009e840c4f332e0081a9605f0310c748,Owns,dc9e840c4f332e0081a9605f0310c74b,Owns
014c19a70a0a3c25005726d2d78fc8d2,Owns,6a76d5b40a0a3c75018eb1fb9972ea6f,Owns
014c19a70a0a3c25005726d2d78fc8d2,Owns,6a7740f70a0a3c7500116fbcfe5c814c,Owns
014c19a70a0a3c25005726d2d78fc8d2,Owns,6a7781000a0a3c75008782f7fc205780,Owns
014c19a70a0a3c25005726d2d78fc8d2,Owns,f19023ca4f359b40ab155bad0210c793,Owns
014c19a70a0a3c25005726d2d78fc8d2,Owns,ff972f92a10e74cccb046ac47a1e8a14,Owns
01dfde1c4f1c3e80b33bbfaf0310c7b7,Owns,5ddfde1c4f1c3e80b33bbfaf0310c7bc,Owns
030866fe4f26fac081a9605f0310c7e4,Owns,5708eafe4f26fac081a9605f0310c790,Owns
030866fe4f26fac081a9605f0310c7e4,Owns,5b08eafe4f26fac081a9605f0310c792,Owns
030866fe4f26fac081a9605f0310c7e4,Owns,8308eafe4f26fac081a9605f0310c78d,Owns
030866fe4f26fac081a9605f0310c7e4,Owns,d308eafe4f26fac081a9605f0310c78f,Owns
030866fe4f26fac081a9605f0310c7e4,Owns,d708eafe4f26fac081a9605f0310c791,Owns
0397e8354f01da4038065bad0210c79a,Owns,579768f54f01da4038065bad0210c72f,Owns
0397e8354f01da4038065bad0210c79a,Owns,5797e8354f01da4038065bad0210c79c,Owns
0397e8354f01da4038065bad0210c79a,Owns,8797e8354f01da4038065bad0210c79b,Owns
0397e8354f01da4038065bad0210c79a,Owns,b70624b34f9b1600cfc9bfaf0310c779,Owns
0397e8354f01da4038065bad0210c79a,Owns,df9768f54f01da4038065bad0210c72f,Owns
04d329410a0a3c7501c1f131129344fa,Owns,04d3dffd0a0a3c750150e9015ed22e02,Owns
04d329410a0a3c7501c1f131129344fa,Owns,04d440fd0a0a3c7500295b9a88f845d4,Owns
04d329410a0a3c7501c1f131129344fa,Owns,04d465440a0a3c75004f42d1531ee089,Owns
04d329410a0a3c7501c1f131129344fa,Owns,863dc774ff125000da9f646d8b649d9d,Owns
04d329410a0a3c7501c1f131129344fa,Owns,d25b664cbd8be1c01e22f15003198995,Owns
0549973e4f267e04b33bbfaf0310c783,Owns,1549973e4f267e04b33bbfaf0310c786,Owns
0549973e4f267e04b33bbfaf0310c783,Owns,21499f3e4f267e04b33bbfaf0310c777,Owns
0549973e4f267e04b33bbfaf0310c783,Owns,5549973e4f267e04b33bbfaf0310c788,Owns
0549973e4f267e04b33bbfaf0310c783,Owns,9d499f3e4f267e04b33bbfaf0310c775,Owns
0549973e4f267e04b33bbfaf0310c783,Owns,d549973e4f267e04b33bbfaf0310c789,Owns
06480cbb853f4d881e22301f4739b166,Owns,308ffd112cca79001e22fa3cef9e243d,Owns
06480cbb853f4d881e22301f4739b166,Owns,331ceda56ff5c240889d38103c3ee4b2,Owns
06480cbb853f4d881e22301f4739b166,Owns,748ffd112cca79001e22fa3cef9e243c,Owns
06480cbb853f4d881e22301f4739b166,Owns,b88ffd112cca79001e22fa3cef9e243b,Owns
06480cbb853f4d881e22301f4739b166,Owns,ef7ffd112cca79001e22fa3cef9e243a,Owns
06bfe73e55aa94009f16f6585e91598e,Owns,4039b94421450104cd3b90193281c085,Owns
06bfe73e55aa94009f16f6585e91598e,Owns,76650b3e5dc04d04093f80f00f03efd1,Owns
06bfe73e55aa94009f16f6585e91598e,Owns,c0a8edfbfff39000b15cfe5c157efe4d,Owns
06bfe73e55aa94009f16f6585e91598e,Owns,c8a7470b4f409384fc414b901210c7b0,Owns
06f8444e4fc4e64081a9605f0310c785,Owns,1af8444e4fc4e64081a9605f0310c787,Owns
06f8444e4fc4e64081a9605f0310c785,Owns,3300f52a4fb06a80e52c605f0310c721,Owns
06f8444e4fc4e64081a9605f0310c785,Owns,36f42f154fd16200f6bd4b901210c7ce,Owns
06f8444e4fc4e64081a9605f0310c785,Owns,92f8444e4fc4e64081a9605f0310c788,Owns
06f8444e4fc4e64081a9605f0310c785,Owns,9af8444e4fc4e64081a9605f0310c786,Owns
07b4bd104fbf0f0007cc5bad0210c778,Owns,93b4fd104fbf0f0007cc5bad0210c706,Owns
0871d22c4f239600cfc9bfaf0310c780,Owns,8b7d5f914fc74b848187605f0310c7d6,Owns
0871d22c4f239600cfc9bfaf0310c780,Owns,c871d22c4f239600cfc9bfaf0310c781,Owns
0871d22c4f239600cfc9bfaf0310c780,Owns,c871d22c4f239600cfc9bfaf0310c782,Owns
09676fc851e91140eab796c9af0ca3d7,Owns,31a7a928e9a1d540bcb8e26f7a020954,Owns
09676fc851e91140eab796c9af0ca3d7,Owns,513069ece9ed9540bcb8e26f7a020919,Owns
09676fc851e91140eab796c9af0ca3d7,Owns,532929a4e9a1d540bcb8e26f7a0209bb,Owns
09676fc851e91140eab796c9af0ca3d7,Owns,6b6865ace9a1d540bcb8e26f7a020962,Owns
09676fc851e91140eab796c9af0ca3d7,Owns,d7a961a4e9e1d540bcb8e26f7a0209ce,Owns
099a73af0a0a3c75004b4896e06355af,Owns,099caa080a0a3c7500e02e2ea0621b91,Owns
099a73af0a0a3c75004b4896e06355af,Owns,137a566825648240093fb60fd99cec61,Owns
099a73af0a0a3c75004b4896e06355af,Owns,7500cf58876a10009f16c5a36c434d73,Owns
099a73af0a0a3c75004b4896e06355af,Owns,eb7a1aa825648240093fb60fd99cecf6,Owns
099a73af0a0a3c75004b4896e06355af,Owns,eb7a566825648240093fb60fd99cec61,Owns
099a94970a0a3c750167fcd0ceb7e890,Owns,099cd17f0a0a3c75012edbfd998c51c4,Owns
099a94970a0a3c750167fcd0ceb7e890,Owns,27ea7614876a10009f16c5a36c434dac,Owns
099a94970a0a3c750167fcd0ceb7e890,Owns,3036226c25648240093fb60fd99cec14,Owns
099a94970a0a3c750167fcd0ceb7e890,Owns,7436226c25648240093fb60fd99cec13,Owns
099a94970a0a3c750167fcd0ceb7e890,Owns,b836226c25648240093fb60fd99cec12,Owns
099ab2c40a0a3c75019750babff8b157,Owns,099cf5c00a0a3c75007e9bc80a00d7ed,Owns
099ab2c40a0a3c75019750babff8b157,Owns,1bff7658876a10009f16c5a36c434df8,Owns
099ab2c40a0a3c75019750babff8b157,Owns,2b2e5a6cbc2006401e22bcd5946ebcbf,Owns
099ab2c40a0a3c75019750babff8b157,Owns,632e5a6cbc2006401e22bcd5946ebcbe,Owns
099ab2c40a0a3c75019750babff8b157,Owns,6f2e5a6cbc2006401e22bcd5946ebcbe,Owns
099afd6c0a0a3c75008b1bc56a7e37dc,Owns,099d50070a0a3c7501a790020420dd4f,Owns
099afd6c0a0a3c75008b1bc56a7e37dc,Owns,44014197340cfc081e222d26f892368b,Owns
099afd6c0a0a3c75008b1bc56a7e37dc,Owns,7cfc32d4876a10009f16c5a36c434d42,Owns
099afd6c0a0a3c75008b1bc56a7e37dc,Owns,dc010997340cfc081e222d26f89236d6,Owns
099afd6c0a0a3c75008b1bc56a7e37dc,Owns,e0010997340cfc081e222d26f89236fa,Owns
09ed7fd474f6d908cd3beac06b387cda,Owns,5a8fa9e874b21d08cd3beac06b387c9d,Owns
09ed7fd474f6d908cd3beac06b387cda,Owns,80cf612c74b21d08cd3beac06b387cd3,Owns
09ed7fd474f6d908cd3beac06b387cda,Owns,9ede65a874b21d08cd3beac06b387c81,Owns
09ed7fd474f6d908cd3beac06b387cda,Owns,a67fa56874b21d08cd3beac06b387c55,Owns
09ed7fd474f6d908cd3beac06b387cda,Owns,f0bfa12874b21d08cd3beac06b387c53,Owns
0a5bf1e94f65f604cfc9bfaf0310c737,Owns,0e5bfde94f65f604cfc9bfaf0310c76f,Owns
0a5bf1e94f65f604cfc9bfaf0310c737,Owns,1e5bfde94f65f604cfc9bfaf0310c771,Owns
0a5bf1e94f65f604cfc9bfaf0310c737,Owns,5e5bfde94f65f604cfc9bfaf0310c772,Owns
0c1baa680a0a3c2501254f54591a1fe7,Owns,206811c795b4f448cb3397678261b98f,Owns
0c1baa680a0a3c2501254f54591a1fe7,Owns,5f57910b95b4f448cb3397678261b96f,Owns
0c1baa680a0a3c2501254f54591a1fe7,Owns,6d82800e4fdb2a80872a5bad0210c779,Owns
0c1baa680a0a3c2501254f54591a1fe7,Owns,8357198b95b4f448cb3397678261b9b3,Owns
0c1baa680a0a3c2501254f54591a1fe7,Owns,9dc824040a0a3c750029693359ad0405,Owns
0e8fb44d4f1f0a00f6bd4b901210c79e,Owns,028fb44d4f1f0a00f6bd4b901210c7a2,Owns
0e8fb44d4f1f0a00f6bd4b901210c79e,Owns,068fb44d4f1f0a00f6bd4b901210c7a3,Owns
0e8fb44d4f1f0a00f6bd4b901210c79e,Owns,868fb44d4f1f0a00f6bd4b901210c7a1,Owns
0e8fb44d4f1f0a00f6bd4b901210c79e,Owns,c68fb44d4f1f0a00f6bd4b901210c7a0,Owns
100b4f6c4fb82a0081a9605f0310c7df,Owns,200b8f6c4fb82a0081a9605f0310c720,Owns
100b4f6c4fb82a0081a9605f0310c7df,Owns,540b8f6c4fb82a0081a9605f0310c71e,Owns
100b4f6c4fb82a0081a9605f0310c7df,Owns,640b8f6c4fb82a0081a9605f0310c71f,Owns
100b4f6c4fb82a0081a9605f0310c7df,Owns,e80b8f6c4fb82a0081a9605f0310c720,Owns
105c8bd00a0a3c2500757745d424b533,Owns,3a695f56950a384ccb3397678261b95b,Owns
105c8bd00a0a3c2500757745d424b533,Owns,ddb50559302ed9c478aa09ac9e71acbd,Owns
126b1de7f10e6400cb338f672d9c05e9,Owns,267c5debf10e6400cb338f672d9c0589,Owns
126b1de7f10e6400cb338f672d9c05e9,Owns,327c5debf10e6400cb338f672d9c05fc,Owns
126b1de7f10e6400cb338f672d9c05e9,Owns,70e00c244f56ba40e52c605f0310c786,Owns
126b1de7f10e6400cb338f672d9c05e9,Owns,74e00c244f56ba40e52c605f0310c788,Owns
126b1de7f10e6400cb338f672d9c05e9,Owns,837c59ebf10e6400cb338f672d9c059f,Owns
126b1de7f10e6400cb338f672d9c05e9,Owns,f0e00c244f56ba40e52c605f0310c787,Owns
13eddf39c4df7500093f6b09afecb6f1,Owns,57eddf39c4df7500093f6b09afecb6f2,Owns
13f07f9e4fcfc200f6bd4b901210c7e2,Owns,67f07f9e4fcfc200f6bd4b901210c7e3,Owns
13f07f9e4fcfc200f6bd4b901210c7e2,Owns,a7f07f9e4fcfc200f6bd4b901210c7e6,Owns
13f07f9e4fcfc200f6bd4b901210c7e2,Owns,ebf07f9e4fcfc200f6bd4b901210c7e5,Owns
14a9d76b0a0a3c75018a06159c13c185,Owns,14b259a90a0a3c75004e66751ab1f11c,Owns
14a9d76b0a0a3c75018a06159c13c185,Owns,14b2aa140a0a3c750091731a8c4af9cf,Owns
14a9d76b0a0a3c75018a06159c13c185,Owns,14b2ec340a0a3c7501358d66e6a1f18b,Owns
14a9d76b0a0a3c75018a06159c13c185,Owns,14b3221d0a0a3c7500ed712163e52257,Owns
14a9d76b0a0a3c75018a06159c13c185,Owns,14b358f70a0a3c7501d438429e503723,Owns
14a9d76b0a0a3c75018a06159c13c185,Owns,fda2b017a99961c41e22258c8f59f436,Owns
14af38250a0a3c7501bff0eb44f54809,Owns,14b494ec0a0a3c75000715ee8262b2e8,Owns
14af38250a0a3c7501bff0eb44f54809,Owns,14b4f7eb0a0a3c750196f38c64dc3233,Owns
14af38250a0a3c7501bff0eb44f54809,Owns,14b526e00a0a3c750167ca8292ade271,Owns
14af38250a0a3c7501bff0eb44f54809,Owns,14b55b350a0a3c750049230f64ac0143,Owns
14af38250a0a3c7501bff0eb44f54809,Owns,14b5890e0a0a3c750083357e02655f93,Owns
14b171c70a0a3c750001ec792b800d44,Owns,14b5c2080a0a3c750058c5f827657ed5,Owns
14b171c70a0a3c750001ec792b800d44,Owns,14b5e8490a0a3c7500267cf768a92bf5,Owns
14b171c70a0a3c750001ec792b800d44,Owns,14b61c0a0a0a3c7500044513ef143a7b,Owns
14b171c70a0a3c750001ec792b800d44,Owns,14b6489b0a0a3c750089aa2e462ab95e,Owns
14b171c70a0a3c750001ec792b800d44,Owns,14b6714a0a0a3c75002be7a009fa9288,Owns
14b1a1d80a0a3c7500056902bafab012,Owns,14b69d560a0a3c75006b1d1b9ad6a1cc,Owns
